"4674.49415,-0.22887"
"4673.52994,-0.22889"
"4672.56573,-0.22889"
"4671.60152,-0.22878"
"4670.63731,-0.22874"
"4669.67310,-0.22889"
"4668.70889,-0.22905"
"4667.74467,-0.22911"
"4666.78046,-0.22910"
"4665.81625,-0.22905"
"4664.85204,-0.22891"
"4663.88783,-0.22868"
"4662.92362,-0.22865"
"4661.95941,-0.22887"
"4660.99520,-0.22898"
"4660.03099,-0.22891"
"4659.06678,-0.22892"
"4658.10257,-0.22906"
"4657.13835,-0.22917"
"4656.17414,-0.22919"
"4655.20993,-0.22923"
"4654.24572,-0.22931"
"4653.28151,-0.22929"
"4652.31730,-0.22919"
"4651.35309,-0.22921"
"4650.38888,-0.22920"
"4649.42467,-0.22899"
"4648.46046,-0.22889"
"4647.49625,-0.22899"
"4646.53204,-0.22905"
"4645.56782,-0.22898"
"4644.60361,-0.22887"
"4643.63940,-0.22895"
"4642.67519,-0.22923"
"4641.71098,-0.22935"
"4640.74677,-0.22922"
"4639.78256,-0.22915"
"4638.81835,-0.22922"
"4637.85414,-0.22919"
"4636.88993,-0.22911"
"4635.92572,-0.22913"
"4634.96151,-0.22916"
"4633.99729,-0.22915"
"4633.03308,-0.22910"
"4632.06887,-0.22897"
"4631.10466,-0.22882"
"4630.14045,-0.22865"
"4629.17624,-0.22851"
"4628.21203,-0.22856"
"4627.24782,-0.22878"
"4626.28361,-0.22901"
"4625.31940,-0.22904"
"4624.35519,-0.22893"
"4623.39098,-0.22886"
"4622.42676,-0.22882"
"4621.46255,-0.22880"
"4620.49834,-0.22887"
"4619.53413,-0.22890"
"4618.56992,-0.22893"
"4617.60571,-0.22903"
"4616.64150,-0.22910"
"4615.67729,-0.22913"
"4614.71308,-0.22910"
"4613.74887,-0.22893"
"4612.78466,-0.22872"
"4611.82045,-0.22864"
"4610.85623,-0.22872"
"4609.89202,-0.22889"
"4608.92781,-0.22902"
"4607.96360,-0.22901"
"4606.99939,-0.22886"
"4606.03518,-0.22863"
"4605.07097,-0.22854"
"4604.10676,-0.22864"
"4603.14255,-0.22866"
"4602.17834,-0.22859"
"4601.21413,-0.22866"
"4600.24992,-0.22882"
"4599.28570,-0.22900"
"4598.32149,-0.22913"
"4597.35728,-0.22908"
"4596.39307,-0.22888"
"4595.42886,-0.22865"
"4594.46465,-0.22857"
"4593.50044,-0.22873"
"4592.53623,-0.22900"
"4591.57202,-0.22915"
"4590.60781,-0.22919"
"4589.64360,-0.22925"
"4588.67939,-0.22928"
"4587.71517,-0.22915"
"4586.75096,-0.22901"
"4585.78675,-0.22899"
"4584.82254,-0.22892"
"4583.85833,-0.22884"
"4582.89412,-0.22888"
"4581.92991,-0.22890"
"4580.96570,-0.22889"
"4580.00149,-0.22895"
"4579.03728,-0.22896"
"4578.07307,-0.22884"
"4577.10886,-0.22878"
"4576.14464,-0.22884"
"4575.18043,-0.22874"
"4574.21622,-0.22848"
"4573.25201,-0.22841"
"4572.28780,-0.22860"
"4571.32359,-0.22873"
"4570.35938,-0.22876"
"4569.39517,-0.22892"
"4568.43096,-0.22909"
"4567.46675,-0.22905"
"4566.50254,-0.22890"
"4565.53833,-0.22882"
"4564.57411,-0.22873"
"4563.60990,-0.22862"
"4562.64569,-0.22862"
"4561.68148,-0.22880"
"4560.71727,-0.22895"
"4559.75306,-0.22900"
"4558.78885,-0.22913"
"4557.82464,-0.22928"
"4556.86043,-0.22921"
"4555.89622,-0.22908"
"4554.93201,-0.22911"
"4553.96780,-0.22916"
"4553.00358,-0.22904"
"4552.03937,-0.22891"
"4551.07516,-0.22892"
"4550.11095,-0.22895"
"4549.14674,-0.22899"
"4548.18253,-0.22906"
"4547.21832,-0.22905"
"4546.25411,-0.22901"
"4545.28990,-0.22902"
"4544.32569,-0.22901"
"4543.36148,-0.22895"
"4542.39727,-0.22883"
"4541.43305,-0.22867"
"4540.46884,-0.22855"
"4539.50463,-0.22857"
"4538.54042,-0.22870"
